                   x          segdensity2          segdensity2          segdensity3          segdensity4          segdensity5          segdensity6          segdensity7          segdensity8
 l=         100 t=   11.419400926604034     
                  42   149.13000000000000   307.95999999999998   352.11000000000001   300.91000000000003   159.78999999999999  3806.55999999999995  5331.32999999999993  4042.21000000000004
                  43   219.92000000000002   449.53000000000003   513.01999999999998   424.06000000000000   224.78000000000000  3919.76000000000022  3692.75000000000000  5006.18000000000029
                  44   223.09000000000000   437.42000000000002   471.53000000000003   424.51999999999998   229.81000000000000  3996.44000000000005  3691.48000000000002  4975.71000000000004
                  45   157.96000000000001   316.87000000000000   360.94000000000000   309.87000000000000   152.56000000000000  5262.77999999999975  4168.94999999999982  3720.07000000000016
                  46   142.50999999999999   305.22000000000003   337.45999999999998   316.00999999999999   148.99000000000001  5292.02000000000044  4296.57999999999993  3611.21000000000004
                  47   150.37000000000000   291.81000000000000   376.98000000000002   342.32999999999998   148.21000000000001  3620.21000000000004  5374.90999999999985  4145.18000000000029
                  48   146.50999999999999   312.36000000000001   364.94999999999999   330.16000000000003   161.40000000000001  3587.63000000000011  5454.30000000000018  4092.69000000000005
                  49   231.73000000000002   430.44999999999999   528.26999999999998   448.46000000000004   222.25000000000000  3883.44000000000005  3737.71000000000004  4967.69000000000051
                  50   228.96000000000001   422.13000000000000   511.37000000000000   408.19000000000000   216.11000000000001  4035.86000000000013  3743.38000000000011  4884.00000000000000
                  51   149.05000000000001   331.94999999999999   371.56999999999999   319.29000000000002   155.25000000000000  5238.98000000000047  4152.59000000000015  3731.32000000000016
                  52   132.17000000000002   314.37000000000000   350.75000000000000   319.15000000000003   146.43000000000001  5282.73999999999978  4253.89000000000033  3650.50000000000000
                  53   139.99000000000001   296.82999999999998   353.49000000000001   313.12000000000000   146.08000000000001  3841.03999999999996  5399.15999999999985  3960.28999999999996
                  54   145.78000000000000   281.82999999999998   347.73000000000002   293.53000000000003   148.30000000000001  3822.63000000000011  5462.90999999999985  3947.28999999999996
                  55   157.09999999999999   330.93000000000001   361.53000000000003   261.49000000000001   152.94000000000000  3707.43000000000029  3690.61999999999989  5787.96000000000004
                  56   164.75000000000000   314.56000000000000   351.22000000000003   255.66000000000000   144.64000000000001  3838.73000000000002  3716.75000000000000  5663.69000000000051
                  57   227.21000000000001   427.13999999999999   490.98000000000002   487.26999999999998   229.84000000000000  4538.02999999999975  4015.90000000000009  4033.63000000000011
                  58   232.16000000000000   425.32999999999998   492.59000000000003   465.50999999999999   221.70000000000002  4564.05000000000018  4172.19999999999982  3876.46000000000004
                  59   171.58000000000001   291.19999999999999   369.41000000000003   268.66000000000003   153.44000000000000  4642.68000000000029  4850.64000000000033  3702.38999999999987
                  60   143.89000000000001   278.94000000000000   336.36000000000001   257.37000000000000   152.17000000000002  4647.14000000000033  4944.28999999999996  3689.84000000000015
                  61   136.06999999999999   294.86000000000001   359.15000000000003   331.24000000000001   150.28999999999999  3586.59000000000015  4333.26000000000022  5258.53999999999996
                  62   148.03999999999999   294.94999999999999   359.13000000000000   308.69999999999999   163.15000000000001  3632.17000000000007  4374.97000000000025  5168.89000000000033
                  63   215.86000000000001   431.67000000000002   547.62000000000000   427.42000000000002   218.90000000000001  4663.02000000000044  4054.05000000000018  3891.46000000000004
                  64   207.96000000000001   419.92000000000002   520.03999999999996   413.41000000000003   227.44000000000000  4749.19999999999982  4142.48000000000047  3769.55000000000018
                  65   174.95000000000002   324.70999999999998   361.63999999999999   332.99000000000001   148.91000000000000  4541.23000000000047  4864.22000000000025  3701.34999999999991
                  66   158.31999999999999   313.10000000000002   347.32999999999998   316.11000000000001   137.61000000000001  4536.15999999999985  4961.96000000000004  3679.40999999999985
